title,price,rating,In Stock?,link
Chase Me (Paris Nights #2),25.27,5,True,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Elephant Tree,23.82,5,True,https://books.toscrape.com/the-elephant-tree_968/index.html
Sophie's World,15.94,5,True,https://books.toscrape.com/sophies-world_966/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,https://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,https://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
In the Country We Love: My Family Divided,22.0,4,True,https://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html
The Secret (The Secret #1),27.37,4,True,https://books.toscrape.com/the-secret-the-secret-1_859/index.html
Something More Than This,16.24,4,True,https://books.toscrape.com/something-more-than-this_834/index.html
Redeeming Love,20.47,5,True,https://books.toscrape.com/redeeming-love_826/index.html
Poems That Make Grown Women Cry,14.19,4,True,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html
First and First (Five Boroughs #3),15.97,4,True,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html
Camp Midnight,17.08,4,True,https://books.toscrape.com/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True,https://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
A Fierce and Subtle Poison,28.13,4,True,https://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,4,True,https://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
